name,party,here,registered,absent,for,against,abstain,no-vote
МИЛЕН ВАСИЛЕВ МИХОВ,ОП,339,12,75,4311,352,570,6021
ХРИСТО ГЕОРГИЕВ ГАДЖЕВ,ГЕРБ,190,1,235,7129,911,498,2716
ВЕСЕЛИН НАЙДЕНОВ МАРЕШКИ,ВОЛЯ,110,52,264,503,51,83,10617
КРИСТИНА МАКСИМОВА СИДОРОВА,ПГБСП,209,19,181,2899,718,849,6589
ЛАЛО ГЕОРГИЕВ КИРИЛОВ,ПГБСП,249,28,149,2617,640,710,7287
НИНА ПЕЙЧЕВА МИТКОВА,ВОЛЯ,8,3,44,325,20,38,431
ХРИСТИАН РАДЕВ МИТЕВ,ОП,367,2,57,7344,509,986,2415
ЛИЛЯНА ПАВЛОВА НИКОЛОВА,ГЕРБ,7,0,1,87,16,7,15
РУМЯНА ГЕНЧЕВА БЪЧВАРОВА,ГЕРБ,3,1,5,94,22,4,20
ДАНИЕЛА АНАСТАСОВА ДАРИТКОВА-ПРОДАНОВА,ГЕРБ,258,8,160,6575,631,630,3418
ДИМИТЪР ИВАНОВ АВРАМОВ,ДПС,101,41,284,738,110,146,10260
ИВАН НИКОЛОВ МИХОВСКИ,ГЕРБ,353,1,72,7472,724,701,2357
МИЛКО НЕДЯЛКОВ НЕДЯЛКОВ,ПГБСП,282,5,139,3143,1042,1952,5117
СЛАВИ ДИЧЕВ НЕЦОВ,ВОЛЯ,364,4,58,5990,141,937,4186
СТАНИСЛАВ ИВАНОВ ПОПОВ,ГЕРБ,123,0,123,4116,246,553,1442
ЖИВКО ИВАНОВ МАРТИНОВ,ГЕРБ,36,0,6,431,42,30,111
ПЛАМЕН ТАЧЕВ ПЕТРОВ,ГЕРБ,261,22,143,5672,720,357,4505
ЧАВДАР ЙОРДАНОВ ВЕЛИНОВ,ПГБСП,301,3,122,2650,599,815,7190
ВАЛЕНТИН КИРИЛОВ КАСАБОВ,ОП,201,114,111,3850,519,440,6445
ГЕОРГИ ЕВДОКИЕВ МАРКОВ,ГЕРБ,145,28,253,1590,230,120,9314
ЗАПРЯН ВАСИЛЕВ ЯНКОВ,ГЕРБ,201,6,219,7747,792,669,2046
НЕЛИ РУСКОВА ПЕТРОВА,ГЕРБ,279,1,146,7858,622,872,1902
СПАС ЯНЕВ ПАНЧЕВ,ПГБСП,278,32,116,3195,248,414,7397
АЛЕКСАНДЪР МАИРОВ СИДИ,ОП,301,20,105,3108,342,424,7380
СТАНИСЛАВА КРАСИМИРОВА СТОЯНОВА,ГЕРБ,238,5,183,7084,815,489,2866
ДИМИТЪР ИВАНОВ ГЕЧЕВ,ГЕРБ,211,0,215,6674,669,681,3230
РУМЕН ПЕТРОВ ГЕНОВ,ГЕРБ,180,0,246,8799,1179,425,851
ГЕОРГИ ТЕНЕВ СТАНКОВ,ГЕРБ,180,2,235,5213,735,339,4827
ДОРА ИЛИЕВА ЯНКОВА,ПГБСП,112,106,208,1731,494,405,8624
НИКОЛАЙ ГЕОРГИЕВ ИВАНОВ,ПГБСП,318,2,106,2450,682,924,7198
НИКОЛИНА ПАНАЙОТОВА АНГЕЛКОВА,ГЕРБ,8,0,4,123,25,4,61
СТАНИСЛАВ СТОЯНОВ ИВАНОВ,ГЕРБ,133,10,283,7634,806,578,2236
ХАСАН АХМЕД АДЕМОВ,ДПС,287,13,126,2660,327,458,7809
МАРТИН СТЕФАНОВ ОБРЕШКОВ,ПГБСП,78,0,16,828,193,312,1073
БОРИС ПЕТКОВ КЪРЧЕВ,ГЕРБ,258,0,168,8214,858,659,1523
ГЕОРГИ ЧЕНКОВ ТЪРНОВАЛИЙСКИ,ПГБСП,145,23,258,2114,461,683,7996
ДАНИЕЛ ПЕТКОВ ЙОРДАНОВ,ПГБСП,287,4,135,3467,739,1123,5925
РАДОСТИН РАДОСЛАВОВ ТАНЕВ,ГЕРБ,167,8,251,7231,801,574,2648
СТАНИСЛАВ ТОДОРОВ СТАНИЛОВ,ОП,289,11,126,3680,283,380,6911
СТАНИСЛАВ НАСКОВ ДЕЧЕВ,ГЕРБ,4,0,5,104,18,8,10
АДЛЕН ШУКРИ ШЕВКЕД,ДПС,196,25,205,2250,337,406,8261
АЛЕКСАНДЪР ТИХОМИРОВ СИМОВ,ПГБСП,301,8,117,2368,814,699,7373
ИВЕЛИНА ВЕСЕЛИНОВА ВАСИЛЕВА,ГЕРБ,262,3,161,5561,527,613,4553
ЙОРДАН СТОЯНОВ МЛАДЕНОВ,ПГБСП,138,9,185,1228,376,294,6950
ГЕОРГИ НИКОЛОВ ВЕРГИЕВ,ПГБСП,93,4,73,934,216,312,2511
АНТОН КОНСТАНТИНОВ КУТЕВ,ПГБСП,165,54,207,1831,512,651,8260
ВЛАДИМИР ЦВЕТАНОВ ТОШЕВ,ГЕРБ,320,8,98,7747,1072,308,2127
ИВАН ИВАЙЛОВ ЧЕНЧЕВ,ПГБСП,237,41,148,3522,863,1170,5699
НИКОЛАЙ ДИМИТРОВ ПЕНЕВ,ПГБСП,275,3,148,3303,772,959,6220
ДАНИЕЛА ДОБРЕВА ДИМИТРОВА,ГЕРБ,207,4,172,7384,961,488,1762
ВЕСКА МАРИНОВА НЕНЧЕВА,ПГБСП,265,11,150,2590,712,827,7125
ЕВГЕНИЯ БИСЕРОВА АЛЕКСИЕВА,ГЕРБ,132,2,283,7269,834,528,2483
ИЛИЯН АНГЕЛОВ ТИМЧЕВ,ПГБСП,317,5,104,2325,735,700,7494
ТОМА ЛЮБОМИРОВ БИКОВ,ГЕРБ,160,5,261,6644,858,383,3369
ЖЕЧО ДОНЧЕВ СТАНКОВ,ГЕРБ,6,0,3,109,20,7,4
ДУРХАН МЕХМЕД МУСТАФА,ДПС,0,0,4,0,0,0,43
ВИОЛЕТА РУСЕВА ЖЕЛЕВА,ПГБСП,244,13,169,2722,692,901,6939
ГАЛЯ СТОЯНОВА ВАСИЛЕВА,ГЕРБ,89,6,76,2900,302,215,1340
ЕРДЖАН СЕБАЙТИН ЕБАТИН,ДПС,57,56,313,1217,209,175,9653
КЛАВДИЯ ГЕОРГИЕВА ГРИГОРОВА-ГАНЧЕВА,ГЕРБ,246,1,179,8679,992,594,989
СЕВИМ ИСМАИЛ АЛИ,ДПС,285,4,128,3167,374,537,7036
МИТКО КОСТАДИНОВ ПОЛИХРОНОВ,ГЕРБ,114,0,40,2345,228,183,865
ГЕОРГИ ЗАПРЕВ ДИНЕВ,ГЕРБ,234,1,191,7355,918,523,2458
ДИМИТЪР КРУМОВ АЛЕКСАНДРОВ,ГЕРБ,241,0,185,7882,993,468,1911
ИВАН ДИМОВ ИВАНОВ,ПГБСП,198,14,214,2210,645,723,7676
КРАСИМИР ХРИСТОВ ЯНКОВ,ПГБСП,286,19,121,2347,579,910,7418
НИКОЛАЙ ИВАНОВ ЦОНКОВ,ПГБСП,227,35,164,2086,752,482,7934
СТЕФАН ИВАНОВ БУРДЖЕВ,ПГБСП,149,53,224,1297,407,397,9153
АНЕЛИЯ ДИМИТРОВА КЛИСАРОВА,ПГБСП,98,45,189,1081,334,266,7167
ВЕСЕЛА НИКОЛАЕВА ЛЕЧЕВА,ПГБСП,33,68,325,1739,527,462,8526
ДЖЕВДЕТ ИБРЯМ ЧАКЪРОВ,ДПС,132,62,232,1307,185,215,9547
АЛТИМИР ЕМИЛОВ АДАМОВ,ГЕРБ,318,8,100,4135,458,466,6195
КАЛИН НИКОЛОВ ПОПОВСКИ,ОП,352,4,61,5611,332,787,4384
КРУМ КОСТАДИНОВ ЗАРКОВ,ПГБСП,171,40,215,2070,558,916,7710
МИГЛЕНА ДОЙКОВА АЛЕКСАНДРОВА,ОП,80,41,80,583,42,87,4809
СМИЛЯНА НИКОЛОВА НИТОВА-КРЪСТЕВА,ПГБСП,120,0,14,1577,344,538,637
ВАЛЕРИ СИМЕОНОВ СИМЕОНОВ,ОП,144,17,63,2270,267,239,2942
КРАСЕН КИРИЛОВ КРАЛЕВ,ГЕРБ,4,0,4,91,22,2,10
АЛЕКСАНДЪР РУМЕНОВ НЕНКОВ,ГЕРБ,296,5,122,6090,913,238,4001
БОРИСЛАВ ИВАНОВ БОРИСОВ,ГЕРБ,242,0,184,8961,977,635,681
ИРЕНА ТОДОРОВА АНАСТАСОВА,ПГБСП,296,9,121,2804,777,921,6752
КОЛЬО ЙОРДАНОВ МИЛЕВ,ПГБСП,246,7,173,3493,838,1042,5881
МАРГАРИТА НИКОЛАЕВА НИКОЛОВА,ОП,158,7,261,1550,56,307,9341
НИКОЛАЙ ВЕСЕЛИНОВ АЛЕКСАНДРОВ,ОП,212,19,195,2417,188,438,8211
ИВАЙЛО ЛЮБЕНОВ КОНСТАНТИНОВ,ГЕРБ,35,4,55,1389,297,92,575
ИХСАН ХАЛИЛ ХАККЪ,ДПС,279,4,143,2340,363,416,8135
КОРНЕЛИЯ ПЕТРОВА НИНОВА,ПГБСП,194,33,199,1042,359,237,9616
АХМЕД РЕДЖЕБОВ АХМЕДОВ,ДПС,267,9,150,1372,311,318,9253
ИВАН ТОДОРОВ ИБРИШИМОВ,ПГБСП,142,53,231,1483,471,413,8887
СЛАВЧО ГЕОРГИЕВ ВЕЛКОВ,ПГБСП,149,27,78,925,256,343,5749
ЯВОР РУМЕНОВ БОЖАНКОВ,ПГБСП,78,76,272,1488,456,457,8853
АННА НИКОЛАЕВА СЛАВОВА,ПГБСП,62,8,64,1076,271,408,1341
НИКОЛАЙ НАНКОВ НАНКОВ,ГЕРБ,8,0,4,187,38,5,156
ДИМИТЪР БОЙЧЕВ ПЕТРОВ,ГЕРБ,319,2,105,7291,709,655,2599
ДИМИТЪР БОРИСОВ ГЛАВЧЕВ,ГЕРБ,231,1,194,6762,839,279,3374
МАРИЯ ЙОРДАНОВА ИЛИЕВА,ГЕРБ,312,2,112,8276,608,920,1450
ТЕОДОРА РАДКОВА ГЕОРГИЕВА,ГЕРБ,235,6,185,5370,733,282,4869
ХАЛИЛ РЕДЖЕПОВ ЛЕТИФОВ,ДПС,287,7,132,2576,326,523,7829
ДАНИЕЛА ДИМИТРОВА МАЛЕШКОВА,ГЕРБ,247,2,177,8146,919,605,1584
ИМРЕН ИСМЕТОВА МЕХМЕДОВА,ДПС,254,3,169,2664,283,339,7968
РАДОСЛАВ ЛЮБЧОВ СТОЙЧЕВ,ПГБСП,256,8,162,2722,725,745,7062
ЮЛИАН КРЪСТЕВ АНГЕЛОВ,ОП,242,20,164,4091,407,478,6278
КРАСИМИР ДОНЧЕВ КАРАКАЧАНОВ,ОП,3,1,4,34,0,7,84
АНТОН ДИНЕВ ТОДОРОВ,ГЕРБ,27,2,30,613,103,20,166
ГЕРГАНА ЖЕЛЯЗКОВА СТЕФАНОВА,ВОЛЯ,116,48,262,2465,94,500,8195
ДИАНА ДИМОВА САВАТЕВА,ГЕРБ,271,5,71,5641,480,649,2622
ЛИЛЯНА ПАВЛОВА ПАВЛОВА,ГЕРБ,52,2,49,895,21,55,1434
ГЕОРГИ ГЕОРГИЕВ МИХАЙЛОВ,ПГБСП,299,10,117,1854,598,599,8203
ДЕЛЯН АЛЕКСАНДРОВ ДОБРЕВ,ГЕРБ,156,12,98,3058,508,186,3725
ДИМИТЪР СТОЯНОВ СТОЯНОВ,ПГБСП,246,21,159,2191,539,675,7849
НИГЯР САХЛИМ ДЖАФЕР,ДПС,238,40,148,1515,181,229,9329
ПОЛИНА АЛЕКСАНДРОВА ШИШКОВА,ПГБСП,78,3,13,875,215,386,930
ТЕМЕНУЖКА ПЕТРОВА ПЕТКОВА,ГЕРБ,1,1,6,94,21,4,6
АЛЕКСАНДЪР КОЙЧЕВ ИВАНОВ,ГЕРБ,302,2,122,6806,481,735,3232
МЛАДЕН НИКОЛОВ ШИШКОВ,ГЕРБ,188,6,232,7361,991,487,2415
ТОМА НИКОЛОВ ТОМОВ,ПГБСП,197,73,156,1610,335,301,9008
ХАМИД БАРИ ХАМИД,ДПС,274,12,140,2001,225,262,8766
ИСКРЕН ВАСИЛЕВ ВЕСЕЛИНОВ,ОП,342,16,68,4016,235,588,6415
МАНОИЛ МИНЧЕВ МАНЕВ,ГЕРБ,359,8,59,5991,862,358,4043
ФИЛИП СТЕФАНОВ ПОПОВ,ПГБСП,239,13,174,2042,658,653,7901
МАРИЯ ЩЕРЕВА БЕЛОВА,ГЕРБ,55,0,93,2514,189,251,522
СНЕЖАНА ГЕОРГИЕВА ДУКОВА,ГЕРБ,43,3,252,730,87,39,7361
ЦВЕТАН ГЕНЧЕВ ЦВЕТАНОВ,ГЕРБ,132,11,119,2469,323,281,4348
БОРИС ВАНГЕЛОВ БОРИСОВ,ОП,371,12,43,6577,618,612,3447
ДЖЕЙХАН ХАСАНОВ ИБРЯМОВ,ДПС,251,17,158,2099,293,366,8496
ДРАГОМИР ВЕЛКОВ СТОЙНЕВ,ПГБСП,224,16,186,2102,605,568,7979
ЕВГЕНИЯ ДАНИЕЛОВА АНГЕЛОВА,ГЕРБ,166,6,254,7022,710,552,2970
КРАСЕН ГЕОРГИЕВ КРЪСТЕВ,ГЕРБ,288,2,136,8327,367,1246,1314
ЛЪЧЕЗАР БОГОМИЛОВ ИВАНОВ,ГЕРБ,308,6,112,7353,933,471,2497
ЛИЛЯНА ДРУМЕВА РАДЕВА,ГЕРБ,94,1,66,2501,259,141,884
ГЕОРГИ ДИМИТРОВ АНДРЕЕВ,ПГБСП,250,6,170,1172,400,353,9329
ИВАН КИРОВ ГЕНОВ,ПГБСП,190,1,120,2616,591,688,4597
ИРЕНА МЕТОДИЕВА ДИМОВА,ГЕРБ,207,3,216,7833,926,569,1926
ВЛАДИМИР СЛАВЧЕВ ВЪЛЕВ,ГЕРБ,287,3,127,9011,1095,544,464
ГЕОРГИ КОЛЕВ КОЛЕВ,ОП,216,37,173,5494,431,587,4742
ЕКАТЕРИНА СПАСОВА ГЕЧЕВА-ЗАХАРИЕВА,ГЕРБ,2,1,5,87,19,7,12
СВЕТЛА МАРИНОВА БЪЧВАРОВА-ПИРАЛКОВА,ПГБСП,283,12,131,3326,669,933,6326
СВЕТЛАНА АНГЕЛОВА НАЙДЕНОВА,ГЕРБ,217,3,206,6758,914,397,3185
СПАС ГЕОРГИЕВ ГЪРНЕВСКИ,ГЕРБ,312,5,109,8009,1149,408,1688
ВАЛЕНТИН АЛЕКСИЕВ НИКОЛОВ,ГЕРБ,289,18,119,6540,598,543,3573
