name,party,here,registered,absent,for,against,abstain,no-vote
МИЛЕНА ЦВЕТАНОВА ДАМЯНОВА,ГЕРБ,179,0,247,6602,895,473,3284
ЕЛЕНА ВЛАДИМИРОВА АНГЕЛИНИНА,ВОЛЯ,4,1,4,16,3,6,127
АЛЕКСАНДЪР ИВАНОВ МАЦУРЕВ,ГЕРБ,163,1,262,8183,916,623,1532
ВОЛЕН НИКОЛОВ СИДЕРОВ,ОП,80,31,218,248,19,34,8503
КРЪСТИНА НИКОЛОВА ТАСКОВА,ВОЛЯ,120,36,270,1680,123,410,9041
МАНОЛ ТРИФОНОВ ГЕНОВ,ПГБСП,199,55,172,1400,419,276,9159
ПЕТЪР ГЕОРГИЕВ КЪНЕВ,ПГБСП,231,11,184,1914,185,288,8867
ЕМИЛ СЕРАФИМОВ ТОНЧЕВ,ГЕРБ,161,2,132,5643,299,660,966
ЕЛЕНА НИКОЛОВА ЙОНЧЕВА,ПГБСП,43,59,190,913,282,245,6718
СТЕФАН ЛАМБОВ ДАНАИЛОВ,ПГБСП,4,19,317,86,16,3,8991
КРАСИМИР ГЕОРГИЕВ ЦИПОВ,ГЕРБ,95,2,26,2001,264,155,544
КИРИЛ НИКОЛАЕВ ДОБРЕВ,ПГБСП,4,3,10,49,10,10,130
КАЛИН ДИМИТРОВ ВАСИЛЕВ,ГЕРБ,382,3,26,8739,993,582,491
СТОЯН РАДКОВ БОЖИНОВ,ОП,78,1,12,1321,72,199,744
ХРИСТО ТАНЧЕВ ПРОДАНОВ,ПГБСП,283,6,137,2753,741,1069,6691
ДЕСИСЛАВ ПЕТРОВ ТАСКОВ,ПГБСП,77,3,14,618,184,208,1396
АНДРИАН ИВАНОВ РАЙКОВ,ГЕРБ,189,2,235,8740,1076,594,844
ВЕЛИСЛАВА ИВАНОВА КРЪСТЕВА,ДПС,82,95,249,902,171,161,10020
ГЕОРГИ ГЕОРГИЕВ СТОИЛОВ,ПГБСП,226,21,179,2903,798,921,6632
КРАСИМИР ИЛИЕВ БОГДАНОВ,ОП,247,19,160,4060,381,557,6256
МАРТИН ВЛАДИМИРОВ ТИНЧЕВ,ГЕРБ,341,5,67,7859,665,829,1673
СЕРГЕЙ МАНУШОВ КИЧИКОВ,ДПС,312,5,109,3968,440,654,6192
ДЕСИСЛАВ СЛАВОВ ЧУКОЛОВ,ОП,164,31,231,574,68,128,10484
ЕЛХАН МЕХМЕДОВ КЪЛКОВ,ДПС,230,13,183,4356,481,836,5581
ЦВЕТАН БОРИСОВ ТОПЧИЕВ,ПГБСП,311,6,109,3072,777,1229,6176
ЕЛЕНА СТЕФАНОВА ПЕШЕВА,ВОЛЯ,5,13,82,244,8,49,2156
